debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,derived_sex,applicant_ethnicity-1,derived_race,co-applicant_ethnicity-1,applicant_sex_observed,action_taken,purchaser_type,preapproval,tract_minority_population_percent,loan_type,loan_purpose,tract_population,income,ffiec_msa_md_median_family_income,tract_median_age_of_housing_units,applicant_age,applicant_age_above_62,co-applicant_age_above_62,loan_amount,action_taken_final
20%-<30%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,13.66,1,4,6471,250.0,72800,39,25-34,No,,105000.0,Denied
42,8,9,Joint,2.0,White,2.0,2,1,0,2,13.88,1,4,1635,173.0,72800,68,55-64,No,No,65000.0,Approved
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,97.52,1,2,3625,90.0,72800,64,45-54,No,,75000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,5,0,2,94.84,1,2,2925,55.0,72800,70,35-44,No,,35000.0,Approved
37,2,9,Joint,2.0,White,2.0,2,1,3,2,8.12,1,1,2696,150.0,72800,68,35-44,No,No,465000.0,Approved
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,15.65,1,2,2818,62.0,72800,68,65-74,Yes,,25000.0,Approved
,9,9,Joint,2.0,White,2.0,2,5,0,2,23.03,1,2,7337,60.0,72800,22,35-44,No,No,25000.0,Approved
43,1,10,Female,2.0,White,5.0,2,1,0,2,44.03,1,31,3670,69.0,72800,24,35-44,No,,175000.0,Approved
<20%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,85.99,1,2,842,149.0,72800,79,<25,No,,25000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,34.78,1,2,6408,29.0,72800,64,65-74,Yes,,55000.0,Approved
50%-60%,2,10,Male,2.0,Black or African American,5.0,2,3,0,2,95.27,1,1,2222,48.0,72800,65,35-44,No,,85000.0,Denied
50%-60%,1,10,Male,2.0,White,5.0,2,3,0,2,18.25,1,31,3688,51.0,72800,63,55-64,No,,165000.0,Denied
,9,9,Joint,14.0,White,2.0,2,5,0,2,18.9,1,32,3164,65.0,72800,45,55-64,No,Yes,105000.0,Approved
44,2,10,Female,2.0,White,5.0,2,1,0,2,24.79,1,32,3982,115.0,72800,70,45-54,No,,205000.0,Approved
20%-<30%,9,10,Male,2.0,Black or African American,5.0,2,1,0,2,98.67,1,1,3823,83.0,72800,71,45-54,No,,165000.0,Approved
30%-<36%,8,9,Sex Not Available,3.0,Race Not Available,3.0,2,1,0,2,33.57,1,2,6131,97.0,72800,24,45-54,No,No,105000.0,Approved
<20%,9,8,Joint,3.0,Race Not Available,3.0,2,1,0,2,46.1,1,2,7688,351.0,72800,15,45-54,No,No,205000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,1,0,2,16.66,1,31,3577,116.0,72800,62,45-54,No,,55000.0,Approved
30%-<36%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,40.44,1,2,5722,119.0,72800,44,35-44,No,,55000.0,Denied
20%-<30%,8,9,Joint,2.0,White,2.0,2,1,0,2,10.23,1,2,3039,155.0,72800,45,65-74,Yes,Yes,155000.0,Approved
,9,9,Male,2.0,Asian,5.0,2,5,0,2,46.1,1,31,7688,129.0,72800,15,45-54,No,,35000.0,Approved
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,19.27,1,1,3649,165.0,72800,62,35-44,No,,105000.0,Denied
,9,9,Joint,2.0,White,2.0,2,4,0,2,10.93,1,2,2570,190.0,72800,60,45-54,No,No,255000.0,Approved
,9,9,Joint,2.0,White,2.0,2,4,0,2,22.05,1,4,2562,70.0,72800,63,65-74,Yes,Yes,55000.0,Approved
,9,9,Male,2.0,White,5.0,2,5,0,2,42.93,1,2,5239,250.0,72800,36,55-64,No,,205000.0,Approved
