activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163560400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,105000.0,102.16,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,455000,1,1,3,5,1,NA,250,20%-<30%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,6,,,,,4,,,,6471,13.66,72800,191,2184,2332,39
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163550800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,65000.0,74.35,3.74,0.145,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,385000,1,1,3,5,1,NA,173,42,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,6,,,,,10,,,,1635,13.88,72800,300,578,646,68
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163541500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,1,2,1,1,75000.0,75.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,2,2,2,105000,1,2,3,5,1,NA,90,30%-<36%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,3625,97.52,72800,54,676,1215,64
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163546000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,5,0,2,1,2,1,2,1,2,35000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,55,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,2925,94.84,72800,42,935,1622,70
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163550600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,465000.0,80.0,5.25,0.104,2,3756.0,NA,1130.0,,,360,NA,NA,2,2,2,2,585000,1,1,3,5,1,NA,150,37,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,2696,8.12,72800,391,1049,1144,68
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163580200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,25000.0,78.97,3.74,2.5,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,135000,1,1,3,5,1,NA,62,30%-<36%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,2818,15.65,72800,109,769,1196,68
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163591700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,5,0,2,1,2,1,2,1,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,60,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,7337,23.03,72800,171,2223,2369,22
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163564502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,2,2,175000.0,34.17,3.0,0.015,2,1200.75,NA,0.0,,62.11,360,NA,120,2,1,2,2,505000,1,1,3,5,1,NA,69,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,7,,,,,10,,,,3670,44.03,72800,256,1312,1359,24
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163506400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Male,3,0,2,1,2,1,2,1,1,25000.0,25.25,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,2,2,2,95000,1,1,3,5,1,NA,149,<20%,8,10,3,,,,,5,,,,,2,4,3,5,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,6,,,,,3,,,,842,85.99,72800,0,216,586,79
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163578500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,2,1,2,1,2,55000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,29,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,6408,34.78,72800,96,1276,1790,64
